,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CanESM5,CMCC-ESM2,EC-Earth3,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-g3,GFDL-ESM4,IITM-ESM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KIOST-ESM,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,NorESM2-MM,TaiESM1
15806,26.3471,23.3925,23.3388,27.1627,28.1125,24.7436,28.174,27.1197,24.1585,26.5006,25.6086,27.353,26.0668,27.8272,26.7759,27.5036,24.2956,27.0001,26.691,21.4773,27.9809,27.1407,24.8135,27.3074
15807,26.0078,24.3575,24.8759,28.3943,27.025,26.0763,27.0768,26.2041,23.6757,26.7865,25.4786,26.7233,26.5126,26.5062,26.811,27.8941,23.2552,26.2843,26.9483,25.2931,28.0361,26.7246,26.6839,26.9416
15808,26.7743,25.7029,24.9223,27.6348,24.8217,26.4919,27.1286,26.7235,23.0723,26.6188,24.5068,25.5996,27.2208,26.915,26.4926,28.1017,23.3873,26.1426,27.5561,23.3104,27.2237,24.7978,27.3131,26.6708
15809,27.2734,26.1213,26.0233,28.0714,24.1213,26.8396,27.2056,26.0878,23.8678,26.0982,23.5223,26.4343,27.28,26.61,27.1089,27.8266,24.1267,27.5127,27.4472,24.1168,25.2873,24.9871,27.1524,26.5567
15810,27.3709,26.9616,26.776,27.2113,25.9371,27.4636,26.3381,27.2115,25.2909,26.4401,25.0449,27.5715,26.8195,26.9307,27.4715,26.7646,24.9575,27.1488,26.1135,26.1456,27.1497,25.9191,25.079,27.6366
15811,27.685,26.6348,27.3125,27.5309,26.6862,24.5545,26.7503,27.0901,26.3988,27.0345,26.4063,27.7855,27.4011,27.1132,27.1868,26.6676,25.4713,25.9666,25.3601,26.9609,28.817,26.1134,20.8252,26.7824
15812,27.7415,26.7791,25.9683,26.3722,27.6821,20.9726,26.7876,25.868,26.6955,27.4333,26.868,27.661,27.5328,27.13,26.2053,27.9729,25.8975,26.1083,26.4396,28.5142,28.8041,26.3258,19.7684,27.3244
15813,27.5867,26.9727,25.0448,27.6885,26.6933,22.7196,25.1169,27.6285,27.523,26.9116,26.9459,26.2459,27.5197,27.7383,24.5748,28.1282,26.4122,26.1424,27.2183,27.9708,28.2915,26.2094,22.8833,27.3683
15814,27.5679,26.8409,24.3103,27.4591,26.4736,24.0391,23.0793,27.3347,27.5951,26.0863,26.4296,26.3655,26.2673,28.2933,24.9345,25.9953,26.3789,27.135,26.0607,26.7108,26.6573,26.658,25.8857,27.1202
15815,27.7867,25.8099,26.4821,27.506,26.9846,25.608,23.0463,26.6061,28.0635,26.7474,27.1969,28.0507,28.0993,28.2093,26.6718,27.4054,26.6065,28.0287,25.9761,26.3837,27.0568,27.1973,25.9523,28.3023
15816,28.0548,25.3277,25.7161,23.8344,27.7465,27.04,24.7302,26.6934,27.1533,27.241,27.8502,28.6872,28.5128,27.2023,27.0743,24.7502,27.7095,28.3785,27.5946,25.0957,28.165,27.713,26.1673,27.4089
15817,28.299,25.6321,24.9884,23.3093,28.2735,22.5801,25.9083,28.2251,25.8514,27.6748,27.8635,28.1939,28.6896,27.1908,25.8754,24.8458,27.046,27.868,27.6205,26.1126,27.7296,27.9854,26.7447,27.269
15818,28.2747,26.7917,25.2588,25.0359,28.499,18.9605,26.7316,27.5266,23.8865,27.6078,27.9438,27.4367,28.5978,27.095,26.944,26.3203,27.8072,28.6268,27.0465,26.3716,27.8997,27.6821,27.5339,27.8698
15819,28.504,27.4967,26.1028,26.1462,28.2891,20.2675,28.1435,27.3559,24.523,28.2069,28.8603,28.5567,27.6434,27.3119,27.0689,26.3954,27.6482,29.2976,26.6648,27.2597,27.8295,27.1408,27.7922,28.1111
15820,28.8628,27.7075,27.0783,26.9962,28.4986,22.9584,28.1531,27.8291,25.1075,27.819,27.1919,26.5912,28.0723,26.0873,26.4843,25.1807,27.5257,28.9202,26.8666,27.7994,26.8935,26.6629,27.6309,27.7218
15821,29.1384,27.9922,28.3966,27.6301,28.7928,23.997,27.8301,28.3184,28.0164,27.8317,28.3054,24.2371,28.0265,28.4899,28.4844,25.2583,28.0286,29.1687,26.2868,26.6743,27.6458,26.6142,27.5476,27.7343
15822,28.9972,28.0544,27.9987,27.5977,29.0482,24.4939,28.0708,28.9734,28.0864,26.9157,28.5473,26.136,28.497,27.2628,28.506,26.3068,27.773,29.208,27.2213,26.5718,27.9076,26.7001,27.2899,28.2659
15823,28.9241,28.1789,27.6931,27.0743,28.6361,25.1473,28.0807,28.4056,28.8346,27.4113,28.8696,26.7803,28.3275,26.8918,28.7434,26.6773,27.9102,29.1076,26.9055,26.4456,27.9185,25.8394,27.6769,28.678
15824,26.0907,27.9183,26.2132,28.0047,28.6235,24.4613,28.5365,28.8407,29.419,28.1333,28.6031,25.2301,28.5181,26.9611,29.0297,27.1189,28.2299,29.437,25.2257,27.0595,27.9384,25.8008,27.558,28.0999
15825,25.4237,27.1629,25.8367,27.4054,29.168,24.6972,28.4315,27.8389,29.6515,27.7364,28.0434,22.8496,28.6562,26.1684,29.3181,26.7047,26.0282,29.776,26.166,27.8689,28.1625,26.5975,27.7604,28.4183
15826,27.0732,25.7069,25.5389,27.7945,29.4177,25.4965,28.3013,24.7794,29.45,27.5232,27.8564,24.141,28.4655,27.7326,29.9063,27.8494,25.1968,29.9215,26.9251,27.9623,28.0488,27.2712,27.7622,28.4987
15827,28.1953,24.3879,27.3148,26.0226,29.9544,26.1774,28.3164,23.1976,28.9868,26.7288,28.2654,25.739,28.8037,28.1471,29.2543,27.8129,24.8021,30.0297,27.8656,27.5572,28.1841,27.9675,27.8588,28.6102
15828,28.5531,25.0363,26.7647,26.5389,28.9601,26.9191,27.7973,24.7169,29.124,27.1113,27.9645,26.19,27.6813,28.0825,28.5406,27.9201,26.0219,29.8002,28.1829,26.9869,28.5318,28.0986,28.1301,28.4674
15829,28.9329,26.4389,25.1372,26.048,29.1174,27.361,27.2573,25.8837,28.8104,26.9713,26.7709,26.6469,28.916,27.0352,28.7902,28.4907,27.41,29.0318,28.0866,27.82,28.9264,28.1906,28.2424,28.7719
15830,28.8624,27.301,24.2577,25.8274,29.2905,27.3108,27.5114,25.2519,28.8938,27.124,25.5223,27.1082,28.0375,27.4091,28.8911,28.0286,26.6937,29.4823,28.0859,27.5773,29.0128,28.7078,28.4523,28.9881
15831,28.4988,27.1036,25.5736,26.4115,29.6004,26.6252,27.7019,27.6497,28.9541,27.5118,26.078,26.6683,28.5299,27.1988,28.5925,28.4588,27.183,28.946,28.2569,28.4464,29.9983,28.0077,28.4793,28.5354
15832,28.1922,27.3978,25.681,27.2326,29.4104,24.4801,28.4948,25.427,28.0636,27.694,26.4421,27.2424,28.0338,28.5446,28.4799,28.0551,27.9185,29.5366,28.5061,28.161,30.3315,27.6629,28.3885,28.0389
