date,Table_lamp_business_electricity_sales(kWh)
2019/5/10,241879397
2019/5/11,241879397
2019/5/12,241879397
2019/5/13,241879397
2019/5/14,241879397
2019/5/15,241879397
2019/5/16,241879397
2019/5/17,241879397
2019/5/18,241879397
2019/5/19,241879397
2019/5/20,241879397
2019/5/21,241879397
2019/5/22,241879397
2019/5/23,241879397
2019/5/24,241879397
2019/5/25,241879397
2019/5/26,241879397
2019/5/27,241879397
2019/5/28,241879397
2019/5/29,241879397
2019/5/30,241879397
2019/5/31,241879397
2019/6/1,229208769
2019/6/2,229208769
2019/6/3,229208769
2019/6/4,229208769
2019/6/5,229208769
2019/6/6,229208769
2019/6/7,229208769
2019/6/8,229208769
2019/6/9,229208769
2019/6/10,229208769
2019/6/11,229208769
2019/6/12,229208769
2019/6/13,229208769
2019/6/14,229208769
2019/6/15,229208769
2019/6/16,229208769
2019/6/17,229208769
2019/6/18,229208769
2019/6/19,229208769
2019/6/20,229208769
2019/6/21,229208769
2019/6/22,229208769
2019/6/23,229208769
2019/6/24,229208769
2019/6/25,229208769
2019/6/26,229208769
2019/6/27,229208769
2019/6/28,229208769
2019/6/29,229208769
2019/6/30,229208769
2019/7/1,261623971
2019/7/2,261623971
2019/7/3,261623971
2019/7/4,261623971
2019/7/5,261623971
2019/7/6,261623971
2019/7/7,261623971
2019/7/8,261623971
2019/7/9,261623971
2019/7/10,261623971
2019/7/11,261623971
2019/7/12,261623971
2019/7/13,261623971
2019/7/14,261623971
2019/7/15,261623971
2019/7/16,261623971
2019/7/17,261623971
2019/7/18,261623971
2019/7/19,261623971
2019/7/20,261623971
2019/7/21,261623971
2019/7/22,261623971
2019/7/23,261623971
2019/7/24,261623971
2019/7/25,261623971
2019/7/26,261623971
2019/7/27,261623971
2019/7/28,261623971
2019/7/29,261623971
2019/7/30,261623971
2019/7/31,261623971
2019/8/1,251339921
2019/8/2,251339921
2019/8/3,251339921
2019/8/4,251339921
2019/8/5,251339921
2019/8/6,251339921
2019/8/7,251339921
2019/8/8,251339921
2019/8/9,251339921
